id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,not_compliant,status,inactive_loans,bad_loans,emp_length_num,grade_num,sub_grade_num,delinq_2yrs_zero,pub_rec_zero,collections_12_mths_zero,short_emp,payment_inc_ratio,final_d,last_delinq_none,last_record_none,last_major_derog_none
1077501,1296599,5000,5000,4975, 36 months,10.65,162.87,B,B2,,10+ years,RENT,24000,Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077501,  Borrower added on 12/22/11 > I need to upgrade my business technologies.<br>,credit_card,Computer,860xx,AZ,27.65,0,19850101T000000,1,,,3,0,13648,83.7,9,f,0,0,5861.07,5831.78,5000,861.07,0,0,0,20150101T000000,171.62,,20150101T000000,0,,1,0,Fully Paid,1,0,11,5,0.4,1,1,1,0,8.1435,20141201T000000,1,1,1
1077430,1314167,2500,2500,2500, 60 months,15.27,59.83,C,C4,Ryder,< 1 year,RENT,30000,Source Verified,20111201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077430,  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike. I only need this money because the deal im looking at is to good to pass up.<br><br>  Borrower added on 12/22/11 > I plan to use this money to finance the motorcycle i am looking at. I plan to have it paid off as soon as possible/when i sell my old bike.I only need this money because the deal im looking at is to good to pass up. I have finished college with an associates degree in business and its takingmeplaces<br>,car,bike,309xx,GA,1,0,19990401T000000,5,,,3,0,1687,9.4,4,f,0,0,1008.71,1008.71,456.46,435.17,0,117.08,1.11,20130401T000000,119.66,,20130901T000000,0,,1,0,Charged Off,1,1,1,4,0.8,1,1,1,1,2.3932,20161201T000000,1,1,1
1077175,1313524,2400,2400,2400, 36 months,15.96,84.33,C,C5,,10+ years,RENT,12252,Not Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1077175,,small_business,real estate business,606xx,IL,8.72,0,20011101T000000,2,,,2,0,2956,98.5,10,f,0,0,3003.65,3003.65,2400,603.65,0,0,0,20140601T000000,649.91,,20150201T000000,0,,1,0,Fully Paid,1,0,11,4,1,1,1,1,0,8.25955,20141201T000000,1,1,1
1076863,1277178,10000,10000,10000, 36 months,13.49,339.31,C,C1,AIR RESOURCES BOARD,10+ years,RENT,49200,Source Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1076863,"  Borrower added on 12/21/11 > to pay for property tax (borrow from friend, need to pay back) & central A/C need to be replace. I'm very sorry to let my loan expired last time.<br>",other,personel,917xx,CA,20,0,19960201T000000,1,35,,10,0,5598,21,37,f,0,0,12226.3,12226.3,10000,2209.33,16.97,0,0,20150101T000000,357.48,,20150101T000000,0,,1,0,Fully Paid,1,0,11,4,0.2,1,1,1,0,8.27585,20141201T000000,0,1,1
1075269,1311441,5000,5000,5000, 36 months,7.9,156.46,A,A4,Veolia Transportaton,3 years,RENT,36000,Source Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1075269,,wedding,My wedding loan I promise to pay back,852xx,AZ,11.2,0,20041101T000000,3,,,9,0,7963,28.3,12,f,0,0,5631.38,5631.38,5000,631.38,0,0,0,20150101T000000,161.03,,20150201T000000,0,,1,0,Fully Paid,1,0,4,6,0.8,1,1,1,0,5.21533,20141201T000000,1,1,1
1072053,1288686,3000,3000,3000, 36 months,18.64,109.43,E,E1,MKC Accounting ,9 years,RENT,48000,Source Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1072053,  Borrower added on 12/16/11 > Downpayment for a car.<br>,car,Car Downpayment,900xx,CA,5.35,0,20070101T000000,2,,,4,0,8221,87.5,4,f,0,0,3938.14,3938.14,3000,938.14,0,0,0,20150101T000000,111.34,,20141201T000000,0,,1,0,Fully Paid,1,0,10,2,0.2,1,1,1,0,2.73575,20141201T000000,1,1,1
1071795,1306957,5600,5600,5600, 60 months,21.28,152.39,F,F2,,4 years,OWN,40000,Source Verified,20111201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1071795,  Borrower added on 12/21/11 > I own a small home-based judgment collection business. I have 5 years experience collecting debts. I am now going from a home office to a small office. I also plan to buy a small debt portfolio (eg. $10K for $1M of debt) <br>My score is not A+ because I own my home and have no mortgage.<br>,small_business,Expand Business & Buy Debt Portfolio,958xx,CA,5.55,0,20040401T000000,2,,,11,0,5210,32.6,13,f,0,0,646.02,646.02,162.02,294.94,0,189.06,2.09,20120401T000000,152.39,,20120801T000000,0,,1,0,Charged Off,1,1,5,1,0.4,1,1,1,0,4.5717,20161201T000000,1,1,1
1071570,1306721,5375,5375,5350, 60 months,12.69,121.45,B,B5,Starbucks,< 1 year,RENT,15000,Verified,20111201T000000,Charged Off,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1071570,"  Borrower added on 12/16/11 > I'm trying to build up my credit history. I live with my brother and have no car payment or credit cards. I am in community college and work full time. Im going to use the money to make some repairs around the house and get some maintenance done on my car.<br><br>  Borrower added on 12/20/11 > $1000 down only $4375 to go. Thanks to everyone that invested so far, looking forward to surprising my brother with the fixes around the house.<br>",other,Building my credit history.,774xx,TX,18.08,0,20040901T000000,0,,,2,0,9279,36.5,3,f,0,0,1476.19,1469.34,673.48,533.42,0,269.29,2.52,20121101T000000,121.45,,20130301T000000,0,,1,0,Charged Off,1,1,1,5,1,1,1,1,1,9.716,20161201T000000,1,1,1
1070078,1305201,6500,6500,6500, 60 months,14.65,153.45,C,C3,Southwest Rural metro,5 years,OWN,72000,Not Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1070078,"  Borrower added on 12/15/11 > I had recived a loan from Citi Financial about a year ago, I was paying 29.99 intrest, so the refinance is to cut that rate since cleaning up my credit I have been paying everything on time as shown on my credit report<br>",debt_consolidation,High intrest Consolidation,853xx,AZ,16.12,0,19980101T000000,2,,,14,0,4032,20.6,23,f,0,0,7677.52,7677.52,6500,1177.52,0,0,0,20130601T000000,1655.54,,20130701T000000,0,,1,0,Fully Paid,1,0,6,4,0.6,1,1,1,0,2.5575,20161201T000000,1,1,1
1069908,1305008,12000,12000,12000, 36 months,12.69,402.54,B,B5,UCLA,10+ years,OWN,75000,Source Verified,20111201T000000,Fully Paid,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=1069908,,debt_consolidation,Consolidation,913xx,CA,10.78,0,19891001T000000,0,,,12,0,23336,67.1,34,f,0,0,13943.1,13943.1,12000,1943.08,0,0,0,20130901T000000,6315.3,,20130801T000000,0,,1,0,Fully Paid,1,0,11,5,1,1,1,1,0,6.44064,20141201T000000,1,1,1
